League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
ICELAND 1,2025-05-29,11:00:00,9,Vestri,Víkingur Reykjavík,4.8,2.45,2.1,4.75,4.1,1.55,1.25,3.42,2.25,1.6,5.1,1.12,1.02,15.5,1.14,4.6,1.57,2.15,1.67,2.15,2.23,1.2,1.18,2.25,0.67,0.79,1.49,2.28,3.58,9.0,1.41,1.29,3.3,1.5,2.4,1.8,1.91,2.25,1.57,2.9,1.36
AUSTRIA 1,2025-05-29,12:00:00,0,LASK Linz,Rapid Wien,2.88,2.45,3.33,2.35,3.75,2.8,1.26,3.6,2.39,1.58,4.7,1.14,1.0,12.0,1.18,4.33,1.57,2.25,1.52,2.53,1.44,1.28,1.61,1.73,1.38,1.5,1.59,3.09,0.0,0.0,0.0,0.0,0.0,1.47,2.54,1.85,1.95,2.25,1.6,0.0,0.0
SWEDEN 1,2025-05-29,13:00:00,6,Brommapojkarna,Djurgården,3.4,2.25,3.0,2.42,3.28,2.49,1.33,3.25,2.63,1.44,7.0,1.1,1.05,10.0,1.28,3.75,1.76,1.94,1.62,2.2,1.57,1.31,1.38,0.75,1.5,1.72,1.23,2.95,2.23,6.75,1.75,1.24,3.55,1.42,2.65,1.68,2.05,2.05,1.68,2.55,1.43
NORWAY 1,2025-05-29,13:00:00,15,Brann,Molde,2.4,2.38,4.0,1.85,3.58,3.35,1.3,3.4,2.38,1.53,6.0,1.13,1.04,10.0,1.2,4.33,1.6,2.1,1.62,2.2,1.3,1.26,1.78,2.2,1.0,1.99,1.51,3.5,1.56,9.3,2.9,1.13,4.55,1.28,3.08,1.52,2.3,1.91,1.8,2.42,1.47
ICELAND 1,2025-05-29,13:15:00,9,Afturelding,Valur,4.0,2.72,2.15,3.7,4.1,1.7,1.15,4.1,1.93,1.81,3.92,1.19,1.0,20.0,1.05,6.34,1.33,3.04,1.36,2.88,2.1,1.22,1.22,2.5,0.33,1.5,1.56,3.06,2.63,9.0,1.64,1.09,5.7,1.19,3.98,1.35,2.93,1.59,2.27,1.85,1.85
ICELAND 1,2025-05-29,13:15:00,9,ÍBV,FH,3.02,2.35,2.88,2.48,3.63,2.37,1.21,3.6,2.11,1.68,4.5,1.14,1.01,19.0,1.13,5.28,1.42,2.65,1.38,2.67,1.25,1.26,1.44,1.33,0.6,1.21,1.47,2.68,2.2,8.5,1.83,1.09,5.65,1.19,3.95,1.35,2.92,1.6,2.25,1.95,1.77
ICELAND 1,2025-05-29,13:15:00,9,Fram,KA,2.5,2.39,3.5,1.97,3.73,3.09,1.25,3.3,2.23,1.62,4.75,1.15,1.0,15.5,1.17,5.0,1.47,2.5,1.44,2.5,1.21,1.25,1.75,2.25,0.25,1.65,1.67,3.32,1.83,9.0,2.2,1.09,5.5,1.22,3.98,1.35,2.93,1.59,2.25,1.92,1.82
ICELAND 1,2025-05-29,13:15:00,9,Breidablik,ÍA,1.68,3.07,6.31,1.31,5.3,6.8,1.18,4.33,1.8,1.9,3.6,1.25,1.0,21.0,1.06,7.0,1.31,3.15,1.5,2.4,1.11,1.14,3.2,2.5,0.6,2.31,1.6,3.91,1.23,11.0,4.89,1.12,5.25,1.25,3.6,1.4,2.7,1.65,2.1,2.0,1.77
BELGIUM 1,2025-05-29,13:30:00,0,Royal Antwerp FC,Sporting Charleroi,2.84,2.36,3.42,2.2,3.41,2.69,1.29,3.4,2.49,1.5,5.7,1.12,1.01,12.5,1.2,4.16,1.67,2.1,1.57,2.34,1.36,1.22,1.53,1.38,1.45,1.44,1.63,3.07,1.83,6.4,2.17,1.3,3.15,1.52,2.33,1.85,1.83,2.33,1.52,3.05,1.32
EGYPT 1,2025-05-29,14:00:00,9,Ghazl El Mehalla,Ismaily SC,3.1,1.57,5.38,2.09,2.62,3.85,1.7,1.97,4.8,1.15,9.0,1.02,1.14,4.3,1.77,1.93,3.48,1.26,2.7,1.4,1.47,1.42,1.57,0.92,0.83,1.23,1.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
