League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
CHINA 1,2025-05-16,08:35:00,13,Zhejiang FC,Henan Jianye,2.38,2.3,3.8,1.95,3.8,3.4,1.28,3.35,2.25,1.57,5.25,1.11,1.03,10.0,1.18,4.5,1.61,2.23,1.48,2.35,1.28,1.2,1.83,2.2,1.17,1.59,1.56,3.15,1.75,6.75,2.28,1.2,3.8,1.37,2.8,1.61,2.15,1.95,1.74,2.43,1.48
CHINA 1,2025-05-16,09:00:00,13,Yunnan Yukun,Meizhou Hakka,2.4,2.25,3.85,1.91,3.9,3.45,1.3,3.2,2.4,1.5,6.2,1.06,1.04,9.5,1.2,4.2,1.57,2.3,1.55,2.2,1.28,1.22,1.83,1.4,0.6,1.63,1.32,2.95,1.68,6.75,2.43,1.25,3.45,1.44,2.55,1.71,2.0,2.1,1.63,2.65,1.41
FINLAND 1,2025-05-16,12:00:00,7,Gnistan,SJK,2.89,2.52,3.0,2.7,3.45,2.18,1.3,3.6,2.15,1.62,4.75,1.15,1.02,14.6,1.11,4.9,1.65,2.0,1.42,2.5,1.29,1.22,1.5,1.5,2.0,2.02,2.14,4.16,1.98,6.5,2.08,1.23,3.65,1.34,3.02,1.67,2.07,2.05,1.68,2.55,1.44
ROMANIA 1,2025-05-16,12:00:00,9,Oţelul Galaţi,SSC Farul,2.8,2.05,3.65,2.36,3.08,2.69,1.42,2.65,2.95,1.35,7.1,1.04,1.06,8.0,1.35,3.0,2.25,1.53,1.8,1.85,1.36,1.28,1.45,1.22,1.06,1.56,1.29,2.85,1.74,6.5,2.3,1.3,3.05,1.54,2.25,1.88,1.78,2.38,1.49,3.1,1.3
AUSTRIA 2,2025-05-16,13:00:00,29,First Vienna,Amstetten,2.75,2.38,3.2,1.97,3.53,3.05,1.29,3.4,2.35,1.55,5.5,1.12,1.04,9.5,1.14,4.45,1.57,2.15,1.53,2.4,1.3,1.22,1.6,1.93,1.07,1.35,1.52,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORWAY 1,2025-05-16,13:00:00,7,Fredrikstad,KFUM,2.88,1.95,4.5,1.84,3.33,3.61,1.53,2.38,3.5,1.29,11.0,1.05,1.09,7.0,1.5,2.55,2.1,1.6,2.1,1.67,1.25,1.28,1.73,3.0,0.33,1.16,0.95,2.11,1.7,6.75,2.4,1.29,3.15,1.5,2.35,1.83,1.85,2.25,1.55,2.9,1.35
NORWAY 1,2025-05-16,13:00:00,7,Brann,Sarpsborg 08,2.2,2.5,4.5,1.52,3.85,4.9,1.25,3.75,2.2,1.62,5.0,1.17,1.01,13.0,1.17,5.0,1.5,2.4,1.53,2.38,1.18,1.18,2.15,2.5,2.33,1.94,1.57,3.51,1.43,7.5,3.05,1.21,3.9,1.36,2.85,1.58,2.2,1.92,1.77,2.4,1.5
AUSTRIA 2,2025-05-16,13:00:00,29,Sturm Graz II,Lafnitz,2.4,2.62,3.3,1.73,3.93,3.47,1.22,4.2,2.02,1.75,3.8,1.2,1.02,21.0,1.11,6.2,1.36,2.9,1.4,2.8,1.25,1.18,1.8,1.5,0.36,1.51,1.38,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROATIA 1,2025-05-16,13:00:00,35,Istra 1961,Šibenik,2.35,1.9,5.5,1.71,3.6,5.0,1.4,2.7,3.15,1.32,8.6,1.07,1.06,9.45,1.35,2.98,2.11,1.7,2.0,1.75,1.3,1.25,2.1,1.53,0.82,1.41,1.07,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRIA 2,2025-05-16,13:00:00,29,St. Pölten,Rapid Wien II,1.83,2.8,5.0,1.42,4.75,4.9,1.2,4.5,1.91,1.83,3.9,1.22,1.01,19.0,1.07,6.42,1.33,3.0,1.5,2.5,1.18,1.12,2.75,1.64,1.07,1.68,1.5,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRIA 2,2025-05-16,13:00:00,29,Horn,Kapfenberger SV,2.95,2.4,3.0,2.45,3.66,2.28,1.25,3.6,2.3,1.59,5.0,1.15,1.02,12.0,1.12,4.75,1.53,2.35,1.44,2.5,1.5,1.22,1.5,0.93,1.64,1.13,1.16,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRIA 2,2025-05-16,13:00:00,29,SV Stripfing Weiden,Austria Lustenau,3.25,2.15,3.2,2.43,3.31,2.47,1.36,2.9,2.81,1.4,6.5,1.08,1.01,8.6,1.25,3.15,1.82,1.88,1.75,2.0,1.33,1.25,1.44,1.29,1.5,1.2,1.26,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRIA 2,2025-05-16,13:00:00,29,Voitsberg,Floridsdorfer AC,2.4,2.38,3.8,1.99,3.27,3.23,1.3,3.4,2.44,1.53,5.8,1.12,1.04,8.5,1.16,4.2,1.9,1.8,1.52,2.25,1.29,1.25,1.85,1.0,1.07,1.5,1.22,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORWAY 1,2025-05-16,13:00:00,7,Rosenborg,Haugesund,1.5,3.2,11.0,1.18,5.9,9.8,1.2,4.33,1.91,1.8,4.0,1.22,1.01,23.0,1.11,6.25,1.36,2.9,2.0,1.75,1.03,1.08,4.75,2.0,0.0,2.23,1.0,3.23,1.16,9.5,5.4,1.16,4.4,1.29,3.2,1.48,2.45,1.74,1.95,2.15,1.63
NORWAY 1,2025-05-16,13:00:00,7,Molde,Kristiansund,1.8,2.63,7.0,1.33,4.7,6.5,1.25,3.75,2.2,1.62,5.0,1.17,1.03,11.0,1.15,5.25,1.6,2.34,1.8,1.95,1.07,1.11,3.1,1.33,1.4,1.68,1.32,3.0,1.24,8.5,4.35,1.2,3.95,1.35,2.9,1.57,2.23,1.9,1.79,2.32,1.52
POLAND 1,2025-05-16,13:00:00,33,Stal Mielec,Radomiak Radom,2.85,2.2,3.25,2.44,3.09,2.59,1.36,3.1,2.7,1.44,5.7,1.1,1.04,8.5,1.25,3.5,1.79,1.91,1.62,2.15,1.32,1.28,1.42,1.25,1.06,1.52,1.36,2.88,1.91,8.0,2.1,1.22,3.35,1.4,2.7,1.67,2.1,2.05,1.7,2.8,1.35
NORWAY 1,2025-05-16,13:00:00,7,Strømsgodset,Bryne,2.3,2.38,4.75,1.65,3.6,4.2,1.33,3.25,2.5,1.5,6.0,1.13,1.04,10.0,1.22,4.0,1.6,2.1,1.7,2.05,1.2,1.2,2.05,0.0,0.0,1.77,1.21,2.98,1.5,7.0,2.8,1.21,3.9,1.36,2.8,1.58,2.17,1.95,1.75,2.4,1.49
NORWAY 1,2025-05-16,13:00:00,7,Tromsø,FK Bodo - Glimt,4.75,2.38,2.25,4.3,3.99,1.57,1.3,3.4,2.5,1.5,6.0,1.13,1.04,10.0,1.22,4.2,1.6,2.1,1.7,2.05,2.1,1.2,1.18,1.0,2.0,1.59,1.45,3.04,2.95,6.75,1.48,1.3,3.15,1.53,2.32,1.84,1.84,2.32,1.52,2.95,1.33
NORWAY 1,2025-05-16,13:00:00,7,Viking,Sandefjord,2.0,2.75,4.75,1.61,3.62,4.5,1.2,4.33,2.0,1.73,4.33,1.2,1.01,17.0,1.12,6.0,1.4,2.75,1.44,2.63,1.17,1.15,2.35,2.2,1.0,2.55,1.79,4.34,1.44,7.5,3.05,1.19,4.1,1.34,2.9,1.56,2.23,1.89,1.81,2.33,1.52
NORWAY 2,2025-05-16,13:00:00,7,Lillestrøm,Kongsvinger,2.16,2.35,4.4,1.53,4.3,5.2,1.3,3.4,2.3,1.53,5.1,1.12,1.03,13.0,1.13,4.4,1.53,2.32,1.65,2.2,1.22,1.2,2.19,3.0,2.0,1.65,2.24,3.89,1.64,8.5,2.66,1.2,3.9,1.35,2.9,1.58,2.2,1.9,1.79,2.35,1.5
