League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
ROMANIA 1,2025-05-12,12:00:00,8,Petrolul 52,Oţelul Galaţi,3.4,1.85,3.7,2.69,2.75,2.6,1.6,2.25,3.66,1.22,11.0,1.03,1.07,5.8,1.53,2.25,2.75,1.4,2.17,1.61,1.41,1.38,1.46,1.63,1.32,1.41,1.29,2.7,1.79,6.4,2.23,1.43,2.55,1.73,1.94,2.18,1.58,2.85,1.34,3.8,1.2
SERBIA 1,2025-05-12,13:00:00,5,Čukarički,IMT Novi Beograd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,1.13,1.69,1.52,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINLAND 1,2025-05-12,13:00:00,6,SJK,VPS,2.5,2.46,3.68,1.89,3.62,3.18,1.25,3.3,2.25,1.55,5.0,1.15,1.02,15.0,1.14,4.33,1.55,2.2,1.5,2.45,1.25,0.0,1.73,2.33,0.5,1.9,1.38,3.28,1.72,6.85,2.38,1.2,3.72,1.41,2.6,1.94,1.99,2.17,1.54,2.88,1.32
ITALY 1,2025-05-12,13:30:00,36,Venezia,Fiorentina,3.6,2.05,3.1,3.14,3.16,2.3,1.44,2.63,3.25,1.33,10.0,1.06,1.08,7.5,1.4,2.9,2.2,1.61,1.91,1.91,1.55,1.3,1.36,1.0,1.29,1.35,1.25,2.6,2.28,6.2,2.05,1.49,2.38,1.89,1.81,2.5,1.44,3.42,1.23,4.95,1.11
POLAND 1,2025-05-12,14:00:00,32,Puszcza Niepołomice,Stal Mielec,3.25,2.12,3.0,2.56,3.08,2.48,1.35,3.0,2.6,1.42,5.8,1.1,1.06,12.0,1.26,3.55,1.83,1.87,1.7,2.0,1.3,0.0,1.44,1.2,0.4,1.38,1.36,2.74,1.86,8.5,2.05,1.29,3.1,1.42,2.62,1.67,2.1,2.32,1.5,3.0,1.3
TURKEY 1,2025-05-12,14:00:00,35,Kayserispor,Antalyaspor,2.6,2.2,4.33,1.96,3.44,3.6,1.36,3.0,2.75,1.4,7.0,1.1,0.0,0.0,0.0,0.0,1.88,1.88,1.8,1.91,0.0,0.0,0.0,1.56,0.63,1.51,1.07,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWEDEN 2,2025-05-12,14:00:00,7,Landskrona,Örgryte,2.38,2.3,4.33,1.8,3.45,3.64,1.33,3.25,2.5,1.5,6.5,1.11,0.0,0.0,0.0,0.0,1.7,1.95,1.67,2.1,0.0,0.0,0.0,2.33,0.5,1.75,1.57,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORWAY 2,2025-05-12,14:00:00,6,Skeid,Lillestrøm,6.5,2.25,1.85,5.7,4.2,1.48,1.27,3.4,2.3,1.55,5.5,1.13,1.01,11.0,1.18,4.4,1.69,2.12,1.72,1.93,2.68,0.0,1.08,0.0,2.33,1.27,1.97,3.24,3.65,7.5,1.32,1.16,3.65,1.4,3.14,1.51,2.08,1.87,1.83,2.38,1.49
DENMARK 1,2025-05-12,14:00:00,8,Vejle,Lyngby,2.97,2.2,3.4,2.18,3.2,2.86,1.42,2.7,2.8,1.32,7.0,1.08,1.04,8.5,1.3,3.2,1.88,1.82,1.84,1.95,1.28,1.25,1.57,0.76,0.83,1.32,1.25,2.57,1.89,6.5,2.15,1.24,4.05,1.44,2.78,1.72,2.09,2.06,1.69,2.67,1.39
NORWAY 2,2025-05-12,14:00:00,6,Kongsvinger,Odd,2.24,2.35,4.2,1.77,3.7,4.0,1.35,3.42,2.45,1.53,5.0,1.12,1.02,12.5,1.15,4.6,1.62,2.25,1.62,2.2,1.25,0.0,2.0,2.0,0.0,2.41,1.5,3.91,1.58,7.0,2.75,1.17,4.3,1.23,3.42,1.63,2.48,1.78,1.93,2.23,1.55
NORWAY 2,2025-05-12,14:00:00,6,Åsane,Stabæk,3.0,2.35,2.68,2.9,3.5,2.15,1.29,3.5,2.23,1.57,4.6,1.15,1.0,15.0,1.12,4.7,1.57,2.29,1.47,2.45,1.29,0.0,1.44,0.5,1.5,0.78,1.61,2.39,2.67,6.75,1.9,1.14,4.8,1.22,3.45,1.33,2.55,1.68,2.05,2.02,1.7
SWEDEN 1,2025-05-12,14:10:00,8,IFK Göteborg,Djurgården,3.0,2.1,3.75,2.3,3.09,2.77,1.44,2.63,3.25,1.33,9.0,1.07,0.0,0.0,0.0,0.0,2.0,1.65,1.91,1.91,0.0,0.0,0.0,1.33,1.5,1.67,1.51,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROMANIA 1,2025-05-12,15:00:00,8,Dinamo Bucureşti,Rapid Bucureşti,3.38,2.09,3.04,2.7,3.01,2.4,1.36,2.88,2.77,1.39,7.1,1.04,1.0,9.3,1.24,3.36,1.89,1.81,1.69,2.04,1.53,1.3,1.43,1.67,1.17,1.35,1.4,2.75,2.07,6.25,1.94,1.3,3.05,1.55,2.25,1.87,1.79,2.38,1.49,3.05,1.3
SERBIA 1,2025-05-12,15:00:00,5,Železničar Pančevo,Napredak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.88,1.58,1.22,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAIN 2,2025-05-12,15:30:00,39,Granada CF,SD Eibar,2.4,2.1,5.0,1.75,3.41,4.8,1.44,2.63,3.25,1.33,10.0,1.06,1.08,7.5,1.4,2.9,2.15,1.61,2.1,1.67,1.18,1.25,1.95,1.79,0.84,1.66,1.25,2.91,1.5,6.75,2.8,1.29,3.15,1.5,2.35,1.82,1.84,2.28,1.53,2.9,1.34
ITALY 1,2025-05-12,15:45:00,36,Atalanta,Roma,2.5,2.3,4.0,1.86,3.52,4.0,1.33,3.25,2.63,1.44,6.5,1.11,1.05,9.5,1.25,3.75,1.8,1.94,1.67,2.1,1.28,1.25,1.8,1.71,1.47,1.81,1.46,3.27,1.5,8.5,3.3,1.45,2.48,1.83,1.87,2.38,1.49,3.2,1.26,4.6,1.13
ENGLAND 2,2025-05-12,16:00:00,0,Sheffield United,Bristol City,2.75,2.05,4.33,1.97,3.58,3.53,1.44,2.63,3.25,1.33,9.0,1.07,1.07,7.75,1.38,2.8,2.15,1.65,1.91,1.8,1.29,1.31,1.72,2.0,1.45,1.46,1.45,2.91,1.64,6.75,2.5,1.25,3.4,1.43,2.55,1.72,1.98,2.14,1.62,2.7,1.4
BRAZIL 2,2025-05-12,19:00:00,7,Botafogo SP,Athletic Club,2.8,1.9,4.1,2.09,2.9,3.37,1.51,2.4,3.4,1.29,8.3,1.02,1.02,8.1,1.4,2.7,2.3,1.5,2.05,1.73,1.35,1.34,1.73,0.67,0.0,1.28,1.28,2.56,1.71,6.75,2.33,1.26,3.4,1.32,2.88,1.59,2.16,2.0,1.72,2.6,1.41
BRAZIL 1,2025-05-12,20:00:00,8,Santos,Ceará,2.5,1.96,5.0,1.8,2.92,4.5,1.43,2.4,3.2,1.28,9.2,1.05,1.09,7.5,1.41,2.65,2.1,1.67,2.05,1.7,1.35,1.32,1.85,1.33,0.33,1.87,1.25,3.12,1.53,7.0,2.7,1.19,3.78,1.39,2.67,2.0,2.0,1.96,1.6,2.81,1.33
ARGENTINA 1,2025-05-12,20:30:00,0,River Plate,Barracas Central,1.83,2.25,10.0,1.29,4.31,8.4,1.44,2.63,3.0,1.36,9.0,1.07,1.07,8.0,1.36,2.9,2.1,1.7,2.63,1.44,1.06,1.2,3.0,1.94,1.63,1.88,1.29,3.17,1.17,9.0,5.4,1.37,2.8,1.62,2.14,1.96,1.73,2.48,1.47,3.15,1.3
BRAZIL 2,2025-05-12,21:00:00,7,Amazonas,CRB,2.91,1.95,3.9,2.17,2.91,3.16,1.53,2.35,3.34,1.27,11.0,1.04,1.11,6.75,1.45,2.55,2.3,1.5,2.0,1.75,1.36,1.34,1.65,0.67,1.33,1.87,1.74,3.61,1.67,6.75,2.32,1.22,3.8,1.38,2.8,1.65,2.1,2.0,1.73,2.5,1.48
